julian_date,x,y,z,vx,vy,vz
2451546,9.5667602040838301e+08,9.2384631542192590e+08,3.4040789942098606e+08,-6.4168933365924656e+05,5.2646707502804988e+05,2.4504508300043200e+05
2451547,9.5603414754590440e+08,9.2437260502724826e+08,3.4065287912740588e+08,-6.4205635495699837e+05,5.2611209770952142e+05,2.4491431263327360e+05
2451548,9.5539190777118218e+08,9.2489853954155147e+08,3.4089772801184797e+08,-6.4242315811529336e+05,5.2575689301055123e+05,2.4478343905211164e+05
2451549,9.5474930130244911e+08,9.2542411873751783e+08,3.4114244597112000e+08,-6.4278974294748344e+05,5.2540146105691500e+05,2.4465246230052190e+05
2451550,9.5410632835812473e+08,9.2594934238795578e+08,3.4138703290207338e+08,-6.4315610926695343e+05,5.2504580197456619e+05,2.4452138242215232e+05
2451551,9.5346298915681505e+08,9.2647421026579940e+08,3.4163148870160329e+08,-6.4352225688712054e+05,5.2468991588963545e+05,2.4439019946072288e+05
2451552,9.5281928391731250e+08,9.2699872214410961e+08,3.4187581326664841e+08,-6.4388818562143459e+05,5.2433380292843061e+05,2.4425891346002548e+05
2451553,9.5217521285859632e+08,9.2752287779607308e+08,3.4212000649419153e+08,-6.4425389528337773e+05,5.2397746321743663e+05,2.4412752446392408e+05
2451554,9.5153077619983196e+08,9.2804667699500334e+08,3.4236406828125912e+08,-6.4461938568646531e+05,5.2362089688331541e+05,2.4399603251635432e+05
2451555,9.5088597416037178e+08,9.2857011951434088e+08,3.4260799852492172e+08,-6.4498465664424491e+05,5.2326410405290592e+05,2.4386443766132390e+05
2451556,9.5024080695975411e+08,9.2909320512765276e+08,3.4285179712229395e+08,-6.4534970797029708e+05,5.2290708485322312e+05,2.4373273994291207e+05
2451557,9.4959527481770384e+08,9.2961593360863328e+08,3.4309546397053450e+08,-6.4571453947823471e+05,5.2254983941145905e+05,2.4360093940526983e+05
2451558,9.4894937795413244e+08,9.3013830473110414e+08,3.4333899896684617e+08,-6.4607915098170354e+05,5.2219236785498168e+05,2.4346903609261985e+05
2451559,9.4830311658913743e+08,9.3066031826901424e+08,3.4358240200847614e+08,-6.4644354229438212e+05,5.2183467031133530e+05,2.4333703004925634e+05
2451560,9.4765649094300270e+08,9.3118197399644029e+08,3.4382567299271590e+08,-6.4680771322998148e+05,5.2147674690824002e+05,2.4320492131954493e+05
2451561,9.4700950123619854e+08,9.3170327168758690e+08,3.4406881181690127e+08,-6.4717166360224562e+05,5.2111859777359181e+05,2.4307270994792288e+05
