julian_date,x,y,z,vx,vy,vz
2451546,2.1583088280712838e+09,-1.8709395804917431e+09,-8.4995151851152289e+08,4.0136264242408436e+05,3.6736964600762614e+05,1.5522118230369114e+05
2451547,2.1587101502845063e+09,-1.8705721758106630e+09,-8.4979628141256285e+08,4.0128178172415151e+05,3.6743971367060178e+05,1.5525301456175206e+05
2451548,2.1591113916301398e+09,-1.8702047010693667e+09,-8.4964101248450875e+08,4.0120090724738745e+05,3.6750976643932145e+05,1.5528484049171404e+05
2451549,2.1595125520944099e+09,-1.8698371562827497e+09,-8.4948571173368907e+08,4.0112001899686718e+05,3.6757980431201099e+05,1.5531666009275589e+05
2451550,2.1599136316635437e+09,-1.8694695414657087e+09,-8.4933037916643322e+08,4.0103911697566620e+05,3.6764982728689682e+05,1.5534847336405684e+05
2451551,2.1603146303237720e+09,-1.8691018566331425e+09,-8.4917501478907120e+08,4.0095820118686010e+05,3.6771983536220610e+05,1.5538028030479609e+05
2451552,2.1607155480613289e+09,-1.8687341017999513e+09,-8.4901961860793400e+08,4.0087727163352515e+05,3.6778982853616588e+05,1.5541208091415325e+05
2451553,2.1611163848624520e+09,-1.8683662769810379e+09,-8.4886419062935352e+08,4.0079632831873756e+05,3.6785980680700444e+05,1.5544387519130801e+05
2451554,2.1615171407133803e+09,-1.8679983821913056e+09,-8.4870873085966241e+08,4.0071537124557374e+05,3.6792977017295005e+05,1.5547566313544018e+05
2451555,2.1619178156003580e+09,-1.8676304174456608e+09,-8.4855323930519402e+08,4.0063440041711071e+05,3.6799971863223164e+05,1.5550744474573006e+05
2451556,2.1623184095096307e+09,-1.8672623827590106e+09,-8.4839771597228253e+08,4.0055341583642591e+05,3.6806965218307858e+05,1.5553922002135782e+05
2451557,2.1627189224274478e+09,-1.8668942781462646e+09,-8.4824216086726308e+08,4.0047241750659660e+05,3.6813957082372089e+05,1.5557098896150407e+05
2451558,2.1631193543400617e+09,-1.8665261036223338e+09,-8.4808657399647164e+08,4.0039140543070034e+05,3.6820947455238889e+05,1.5560275156534949e+05
2451559,2.1635197052337279e+09,-1.8661578592021310e+09,-8.4793095536624479e+08,4.0031037961181568e+05,3.6827936336731346e+05,1.5563450783207503e+05
2451560,2.1639199750947056e+09,-1.8657895449005711e+09,-8.4777530498292005e+08,4.0022934005302057e+05,3.6834923726672615e+05,1.5566625776086186e+05
