julian_date,x,y,z,vx,vy,vz
2451546,-1.7305467774141330e+07,-6.0974340360236548e+07,-3.0812422944123615e+07,3.2491819120249161e+06,-5.6242313082994719e+05,-6.3724048701843165e+05
2451547,-1.4034229736949982e+07,-6.1448334012028240e+07,-3.1404715322107647e+07,3.2917099455980379e+06,-3.8532253236096556e+05,-5.4705088852980523e+05
2451548,-1.0725226718135497e+07,-6.1744534770791598e+07,-3.1905954309447162e+07,3.3247006717883055e+06,-2.0686992214163567e+05,-4.5514994536656636e+05
2451549,-7.3880336809147224e+06,-6.1861688264527246e+07,-3.2314476811484102e+07,3.3480747096089479e+06,-2.7260590361859428e+04,-3.6163374122577690e+05
2451550,-4.0323172951400755e+06,-6.1798735962476894e+07,-3.2628714833266255e+07,3.3617279104080861e+06,1.5330854884936262e+05,-2.6659665849844349e+05
2451551,-6.6786104727649130e+05,-6.1554818381166741e+07,-3.2847194587838460e+07,3.3655306802010294e+06,3.3463577504236344e+05,-1.7013300789271656e+05
2451552,2.6954089940413944e+06,-6.1129281535350896e+07,-3.2968537269842729e+07,3.3593273476651451e+06,5.1651124595565675e+05,-7.2338733894973615e+04
2451553,6.0473978083853852e+06,-6.0521686791566536e+07,-3.2991461584013533e+07,3.3429355909219482e+06,6.9871349931507406e+05,2.6686776075468046e+04
2451554,9.3778145189438090e+06,-5.9731824332854711e+07,-3.2914788147136483e+07,3.3161459453649274e+06,8.8100571978782979e+05,1.2683874866095935e+05
2451555,1.2676145049489181e+07,-5.8759730496712044e+07,-3.2737445913466439e+07,3.2787214254059899e+06,1.0631317161741725e+06,2.2800491496503638e+05
2451556,1.5931624478405528e+07,-5.7605709304691248e+07,-3.2458480807745103e+07,3.2303973055976797e+06,1.2448115510527506e+06,3.3006319877674390e+05
2451557,1.9133209278056879e+07,-5.6270358561227739e+07,-3.2077066787032895e+07,3.1708811217060122e+06,1.4257367624008176e+06,4.3287916403142968e+05
2451558,2.2269549697206825e+07,-5.4754600960885443e+07,-3.1592519592683285e+07,3.0998529706034367e+06,1.6055651145675539e+06,5.3630317987836129e+05
2451559,2.5328962633811031e+07,-5.3059720706479818e+07,-3.1004313496875510e+07,3.0169662100533168e+06,1.7839148149327030e+06,6.4016725886346458e+05
2451560,2.8299405459608726e+07,-5.1187406203985222e+07,-3.0312101393847916e+07,2.9218486863816595e+06,1.9603581334108424e+06,7.4428152138599404e+05
2451561,3.1168451401694588e+07,-4.9139799461385444e+07,-2.9515738633601807e+07,2.8141046505609863e+06,2.1344143657385469e+06,8.4843023823106871e+05
2451562,3.3923267265718549e+07,-4.6919552874029882e+07,-2.8615311044053383e+07,2.6933175622747233e+06,2.3055420896864226e+06,9.5236740331403748e+05
2451563,3.6550594507492535e+07,-4.4529894123238474e+07,-2.7611167634249087e+07,2.5590540279503916e+06,2.4731306779600326e+06,1.0558117917682081e+06
2451564,3.9036734932318106e+07,-4.1974699940174028e+07,-2.6503958513026450e+07,2.4108691732268068e+06,2.6364910552488454e+06,1.1584414655145202e+06
2451565,4.1367542632534079e+07,-3.9258579482642241e+07,-2.5294678589523055e+07,2.2483138131433385e+06,2.7948457231063796e+06,1.2598877012862456e+06
2451566,4.3528424171825089e+07,-3.6386968023824707e+07,-2.3984717637229018e+07,2.0709438540745385e+06,2.9473181295439140e+06,1.3597283371616777e+06
2451567,4.5504349496945336e+07,-3.3366231539349336e+07,-2.2575917292095907e+07,1.8783324384320213e+06,3.0929215359347817e+06,1.4574805661165037e+06
2451568,4.7279876608373374e+07,-3.0203782576774620e+07,-2.1070635504271325e+07,1.6700854228516421e+06,3.2305476387809715e+06,1.5525932529044235e+06
2451569,4.8839193650776617e+07,-2.6908207466453396e+07,-1.9471818854640000e+07,1.4458608565073125e+06,3.3589553458795706e+06,1.6444389185437097e+06
2451570,5.0166182783338018e+07,-2.3489404443608440e+07,-1.7783082958590217e+07,1.2053931876833562e+06,3.4767602939153286e+06,1.7323056304593980e+06
2451571,5.1244510936865024e+07,-1.9958731548593048e+07,-1.6008800881444234e+07,9.4852295730637072e+05,3.5824259357551183e+06,1.8153891620265164e+06
2451572,5.2057753316873796e+07,-1.6329162198527027e+07,-1.4154199047855055e+07,6.7523271360100026e+05,3.6742573270905567e+06,1.8927859487851225e+06
2451573,5.2589556198400155e+07,-1.2615445017300291e+07,-1.2225459500956386e+07,3.8568976863151736e+05,3.7503991052138410e+06,1.9634875743342892e+06
2451574,5.2823846068847358e+07,-8.8342628132928051e+06,-1.0229826513188496e+07,8.0296170499579457e+04,3.8088395701620160e+06,2.0263777675143864e+06
2451575,5.2745092349208400e+07,-5.0043834605787266e+06,-8.1757144290943574e+06,-2.4025417116448650e+05,3.8474232273961487e+06,2.0802331775220393e+06
2451576,5.2338630541119583e+07,-1.1467928592439033e+06,-6.0728122024590895e+06,-5.7491195730883745e+05,3.8638745851660427e+06,2.1237294968298790e+06
2451577,5.1591051423126876e+07,2.7152028246831279e+06,-3.9321783740120973e+06,-9.2220432357608038e+05,3.8558363391774436e+06,2.1554547871917728e+06
2451578,5.0490659514150567e+07,6.5559216577839963e+06,-1.7663182671866897e+06,-1.2801651348884893e+06,3.8209252005403689e+06,2.1739320713804541e+06
